state,puma12,county,stab,cntyname,PUMAname,pop10,afact
1,100,1033,AL,Colbert AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",54428,0.2915
1,100,1059,AL,Franklin AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",31704,0.1698
1,100,1077,AL,Lauderdale AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",92709,0.4966
1,100,1093,AL,Marion AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7854,0.0421
1,200,1083,AL,Limestone AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),82782,0.4818
1,200,1089,AL,Madison AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),89039,0.5182
1,301,1089,AL,Madison AL,Huntsville (North) & Madison (East) Cities,118924,1
1,302,1089,AL,Madison AL,Huntsville City (Central & South),101522,1
1,400,1049,AL,DeKalb AL,DeKalb & Jackson Counties,71109,0.5719
1,400,1071,AL,Jackson AL,DeKalb & Jackson Counties,53227,0.4281
1,500,1089,AL,Madison AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),25326,0.214
1,500,1095,AL,Marshall AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),93019,0.786
1,600,1079,AL,Lawrence AL,Morgan & Lawrence Counties--Decatur City,34339,0.2232
1,600,1103,AL,Morgan AL,Morgan & Lawrence Counties--Decatur City,119490,0.7768
1,700,1043,AL,Cullman AL,Cullman & Winston Counties,80406,0.7666
1,700,1133,AL,Winston AL,Cullman & Winston Counties,24484,0.2334
1,800,1009,AL,Blount AL,St. Clair & Blount Counties,57322,0.4068
1,800,1115,AL,St. Clair AL,St. Clair & Blount Counties,83593,0.5932
1,900,1055,AL,Etowah AL,Etowah County,104430,1
1,1000,1019,AL,Cherokee AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",25989,0.1623
1,1000,1027,AL,Clay AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13932,0.087
1,1000,1029,AL,Cleburne AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",14972,0.0935
1,1000,1111,AL,Randolph AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",22913,0.1431
1,1000,1121,AL,Talladega AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",82291,0.514
1,1100,1015,AL,Calhoun AL,Calhoun County,118572,1
1,1200,1117,AL,Shelby AL,Shelby County,195085,1
1,1301,1073,AL,Jefferson AL,Birmingham City (West),100833,1
1,1302,1073,AL,Jefferson AL,Birmingham City (East),102098,1
1,1303,1073,AL,Jefferson AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170145,1
1,1304,1073,AL,Jefferson AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174673,1
1,1305,1073,AL,Jefferson AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110717,1
1,1400,1057,AL,Fayette AL,"Walker, Marion (South & West), Fayette & Lamar Counties",17241,0.1416
1,1400,1075,AL,Lamar AL,"Walker, Marion (South & West), Fayette & Lamar Counties",14564,0.1196
1,1400,1093,AL,Marion AL,"Walker, Marion (South & West), Fayette & Lamar Counties",22922,0.1883
1,1400,1127,AL,Walker AL,"Walker, Marion (South & West), Fayette & Lamar Counties",67023,0.5505
1,1500,1107,AL,Pickens AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),19746,0.1903
1,1500,1125,AL,Tuscaloosa AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),84027,0.8097
1,1600,1125,AL,Tuscaloosa AL,Tuscaloosa & Northport (Southeast) Cities,110629,1
1,1700,1007,AL,Bibb AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22915,0.1674
1,1700,1047,AL,Dallas AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",43820,0.32
1,1700,1063,AL,Greene AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",9045,0.0661
1,1700,1065,AL,Hale AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",15760,0.1151
1,1700,1091,AL,Marengo AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",21027,0.1536
1,1700,1105,AL,Perry AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",10591,0.0774
1,1700,1119,AL,Sumter AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",13763,0.1005
1,1800,1017,AL,Chambers AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",34215,0.2612
1,1800,1021,AL,Chilton AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",43643,0.3331
1,1800,1037,AL,Coosa AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",11539,0.0881
1,1800,1123,AL,Tallapoosa AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",41616,0.3176
1,1900,1081,AL,Lee AL,Lee County--Auburn City,140247,1
1,2000,1101,AL,Montgomery AL,Montgomery City & Pike Road Town (North),196534,1
1,2100,1001,AL,Autauga AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",54571,0.3066
1,2100,1051,AL,Elmore AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",79303,0.4455
1,2100,1085,AL,Lowndes AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",11299,0.0635
1,2100,1101,AL,Montgomery AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",32829,0.1844
1,2200,1023,AL,Choctaw AL,Southwest Alabama,13859,0.0965
1,2200,1025,AL,Clarke AL,Southwest Alabama,25833,0.1799
1,2200,1035,AL,Conecuh AL,Southwest Alabama,13228,0.0921
1,2200,1053,AL,Escambia AL,Southwest Alabama,38319,0.2669
1,2200,1099,AL,Monroe AL,Southwest Alabama,23068,0.1607
1,2200,1129,AL,Washington AL,Southwest Alabama,17581,0.1225
1,2200,1131,AL,Wilcox AL,Southwest Alabama,11670,0.0813
1,2300,1013,AL,Butler AL,"Coffee, Covington, Butler & Crenshaw Counties",20947,0.1709
1,2300,1031,AL,Coffee AL,"Coffee, Covington, Butler & Crenshaw Counties",49948,0.4075
1,2300,1039,AL,Covington AL,"Coffee, Covington, Butler & Crenshaw Counties",37765,0.3081
1,2300,1041,AL,Crenshaw AL,"Coffee, Covington, Butler & Crenshaw Counties",13906,0.1135
1,2400,1005,AL,Barbour AL,"Russell, Pike, Barbour, Macon & Bullock Counties",27457,0.1885
1,2400,1011,AL,Bullock AL,"Russell, Pike, Barbour, Macon & Bullock Counties",10914,0.0749
1,2400,1087,AL,Macon AL,"Russell, Pike, Barbour, Macon & Bullock Counties",21452,0.1473
1,2400,1109,AL,Pike AL,"Russell, Pike, Barbour, Macon & Bullock Counties",32899,0.2258
1,2400,1113,AL,Russell AL,"Russell, Pike, Barbour, Macon & Bullock Counties",52947,0.3635
1,2500,1045,AL,Dale AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",50251,0.2565
1,2500,1061,AL,Geneva AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",26790,0.1368
1,2500,1067,AL,Henry AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",17302,0.0883
1,2500,1069,AL,Houston AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",101547,0.5184
1,2600,1003,AL,Baldwin AL,Baldwin County,182265,1
1,2701,1097,AL,Mobile AL,Mobile City (East),110765,1
1,2702,1097,AL,Mobile AL,Mobile City (West),107285,1
1,2703,1097,AL,Mobile AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",194942,1
